행정구역,2026년02월_계_총인구수,2026년02월_계_연령구간인구수,2026년02월_계_0~9세,2026년02월_계_10~19세,2026년02월_계_20~29세,2026년02월_계_30~39세,2026년02월_계_40~49세,2026년02월_계_50~59세,2026년02월_계_60~69세,2026년02월_계_70~79세,2026년02월_계_80~89세,2026년02월_계_90~99세,2026년02월_계_100세 이상
서울특별시 노원구 공릉2동(1135060000),"40,652","40,652","2,531","4,000","6,633","5,382","6,151","6,429","5,080","2,978","1,256",211,1
서울특별시 노원구 하계1동(1135061100),"24,995","24,995",796,"2,458","4,098","2,717","2,941","4,543","3,905","2,286","1,043",200,8
서울특별시 노원구 하계2동(1135061200),"19,559","19,559","1,090","2,206","2,212","2,431","3,092","3,508","2,856","1,393",650,120,1
서울특별시 노원구 중계본동(1135061900),"22,229","22,229","1,056","4,001","2,610","1,673","4,025","4,462","2,609","1,153",528,109,3
서울특별시 노원구 중계1동(1135062100),"25,933","25,933","1,612","5,114","2,462","1,862","5,536","4,861","2,619","1,197",571,98,1
서울특별시 노원구 중계4동(1135062400),"18,604","18,604",775,"1,806","2,075","1,781","2,563","3,560","2,813","2,034","1,020",174,3
서울특별시 노원구 중계2.3동(1135062500),"31,320","31,320","1,249","2,378","3,260","3,893","4,158","5,418","4,943","3,693","1,985",336,7
서울특별시 노원구 상계1동(1135063000),"35,918","35,918","1,495","2,736","4,080","4,282","4,627","6,354","6,503","3,892","1,672",269,8
서울특별시 노원구 상계2동(1135064000),"18,557","18,557",554,"1,410","2,583","2,210","2,250","3,557","3,234","1,817",797,141,4
서울특별시 노원구 상계3.4동(1135066500),"26,523","26,523","1,140","2,042","2,789","2,681","3,445","4,893","4,707","3,078","1,553",189,6
서울특별시 노원구 상계5동(1135067000),"22,099","22,099",645,"1,526","2,499","2,523","2,630","4,190","3,996","2,531","1,311",241,7
서울특별시 노원구 상계6.7동(1135069500),"30,301","30,301","1,573","2,364","3,622","4,871","4,298","5,341","4,312","2,527","1,140",245,8
